layer,0,1,2,3,4,5,6,7,8,9,10,11
1,0.013219833374023438,0.0007278919219970703,0.13192391395568848,0.011791706085205078,0.01932835578918457,6.794929504394531e-05,0.04365658760070801,0.004860401153564453,0.24723386764526367,0.28658103942871094,1.0967254638671875e-05,0.03313469886779785
2,0.03872251510620117,0.0016508102416992188,0.025821924209594727,0.06624698638916016,0.035492897033691406,-0.002145528793334961,0.029013633728027344,0.011741161346435547,0.02563333511352539,0.0029075145721435547,-0.00786733627319336,0.11583614349365234
3,0.13276910781860352,0.12689614295959473,0.1830885410308838,0.0047070980072021484,0.24327611923217773,0.04095339775085449,0.1072239875793457,0.1514270305633545,0.3838462829589844,0.20099472999572754,0.06469917297363281,0.2101578712463379
