ablation_type,ablation_percentage,mae,mae_std,mse,mse_std,rmse,rmse_std,r2,r2_std,mae_norm,mae_norm_std,mse_norm,mse_norm_std,rmse_norm,rmse_norm_std,r2_norm,r2_norm_std,mae_degradation,mse_degradation,rmse_degradation,r2_degradation
MLP Ablation,0.0,1.0743330717086792,0.0,2.1038622856140137,0.0,1.45046967759206,2.340555645717801e-16,0.976913332939148,0.0,0.1139931008219719,0.0,0.02362683042883873,0.0,0.15371021575952176,0.0,0.9766799211502075,0.0,0.0,0.0,2.220446049250313e-16,0.0
MLP Ablation,0.1,1.5668870747089385,0.9233598216728262,4.745747911930084,5.208844547949565,1.9633387200014076,0.9950147863073967,0.9479226469993591,0.05715913778776055,0.16556867063045502,0.09770685679118872,0.05302400328218937,0.05830203665534068,0.20745641108347307,0.10533460327585932,0.9476644039154053,0.057545110520718014,0.4925540030002593,2.6418856263160704,0.5128690424093478,0.02899068593978882
MLP Ablation,0.2,1.623080348968506,0.6840489274747915,4.42761390209198,3.515889534382654,2.00210220632217,0.6824796761580184,0.9514136850833893,0.03858153210116742,0.1720409445464611,0.07250647845460813,0.04964673426002264,0.03945726334171713,0.21199261649772455,0.07231001782810921,0.9509978234767914,0.03894498393659439,0.5487472772598267,2.323751616477966,0.55163252873011,0.025499647855758645
MLP Ablation,0.3,2.2240021944046022,0.7633223816973426,7.5565529584884645,5.354600771741824,2.634959854455777,0.8256576664122911,0.9170783460140228,0.058758587978488305,0.2349931299686432,0.08046505578934822,0.0843248225748539,0.05970639369762981,0.2783854481118194,0.08709104338714511,0.9167699456214905,0.05893123161179558,1.149669122695923,5.452690672874451,1.1844901768637173,0.05983498692512512
MLP Ablation,0.4,2.281829559803009,1.0294062492797347,8.84342188835144,6.938105346040325,2.7739481082564117,1.129716670995242,0.9029569149017334,0.07613515152722349,0.2413215421140194,0.1089643026221508,0.0989030672237277,0.07762624834650807,0.29330991266640133,0.11959358193182487,0.9023809671401978,0.07661843694160801,1.2074964880943297,6.739559602737426,1.323478430664352,0.0739564180374146
MLP Ablation,0.5,2.6742686867713927,1.2066699772222915,11.520186591148377,8.757107431070215,3.1657189755504227,1.29031002260368,0.8735835015773773,0.09609590578199068,0.2827614799141884,0.12722294070951373,0.1286564689129591,0.09769562209113271,0.33463341678540315,0.1361247192976832,0.8730138540267944,0.0964272563348192,1.5999356150627135,9.416324305534364,1.715249297958363,0.10332983136177065
MLP Ablation,0.6,2.8029704809188845,1.1295940897093253,12.120447444915772,8.49098222240835,3.3017554507289963,1.1637384149069536,0.8669965505599976,0.09317558217867702,0.2959448203444481,0.11930419478911852,0.1350751806050539,0.09470729084465852,0.34850833459534647,0.12300461293351711,0.8666784882545471,0.09347772215104459,1.7286374092102053,10.016585159301759,1.8512857731369365,0.10991678237915037
MLP Ablation,0.7,3.415933835506439,1.2538914964072219,16.978624534606933,10.31977120985895,3.927407420826172,1.3140672591641454,0.8136854529380798,0.11324376754927863,0.36062251925468447,0.13298268481051484,0.18935454562306403,0.11541328515275251,0.41457309316024016,0.1393783661302127,0.8131038069725036,0.11391489344262332,2.34160076379776,14.87476224899292,2.476937743234112,0.16322788000106814
MLP Ablation,0.8,4.118830442428589,1.1172494094760914,23.283485698699952,12.367320974350095,4.695335521276651,1.1725139380065501,0.7444992125034332,0.1357125049978159,0.4352807283401489,0.11780539378304088,0.25989729464054107,0.13785226600083705,0.4961093304848842,0.12370586461612583,0.7434768915176392,0.1360625631670719,3.0444973707199097,21.179623413085938,3.2448658436845914,0.23241412043571474
MLP Ablation,0.9,3.9492888689041137,1.0394238152454087,21.885197162628174,9.238723997293516,4.562220063303185,1.091047028532205,0.7598432958126068,0.10138092579071409,0.41708810031414034,0.10985177082999689,0.24401757530868054,0.10300061286188751,0.4817063928434081,0.11535706115493315,0.7591504633426667,0.10166337020905906,2.8749557971954345,19.78133487701416,3.111750385711125,0.21707003712654116
MLP Ablation,1.0,4.561888217926025,0.0,26.902942657470703,0.0,5.186804667371879,9.362222582871203e-16,0.704781174659729,0.0,0.481803297996521,0.0,0.300043523311615,0.0,0.5477622872301587,1.1702778228589004e-16,0.7038519382476807,0.0,3.487555146217346,24.79908037185669,3.7363349897798193,0.27213215827941895
Attention Ablation,0.0,1.0743330717086792,0.0,2.1038622856140137,0.0,1.45046967759206,2.340555645717801e-16,0.976913332939148,0.0,0.1139931008219719,0.0,0.02362683042883873,0.0,0.15371021575952176,0.0,0.9766799211502075,0.0,0.0,0.0,2.220446049250313e-16,0.0
Attention Ablation,0.1,1.1405898988246919,0.12768094133234323,2.3384604930877684,0.43464025856489624,1.523234591684491,0.142270758233694,0.9743389666080475,0.004769520544090576,0.1208772636950016,0.013559934711621858,0.026199944503605365,0.004859804712403787,0.1612336515596003,0.01504268402331496,0.9741401970386505,0.0047967089110021,0.06625682711601266,0.2345982074737547,0.07276491409243113,0.0025743663311004195
Attention Ablation,0.2,1.1864230513572693,0.1420058046980057,2.4786194920539857,0.5190311055459687,1.5668529897192485,0.1619025792871141,0.9728009223937988,0.005695569486425439,0.12526725009083747,0.015240963783827485,0.02762835044413805,0.005868992717138292,0.1654024375337318,0.017332823775779486,0.9727303445339203,0.005792800587386657,0.11208997964859013,0.374757206439972,0.11638331212718867,0.0041124105453491655
Attention Ablation,0.3,1.6401953220367431,0.3976630056342357,4.492039465904236,2.102719977272151,2.0725929076203067,0.4671403609982755,0.9507067143917084,0.02307415138150309,0.17289195358753204,0.0415713358520917,0.049882516637444495,0.02312859098918146,0.21848383629697507,0.04884590184562395,0.9507650971412659,0.022828311371576964,0.5658622503280639,2.3881771802902225,0.6221232300282469,0.026206618547439553
Attention Ablation,0.4,1.6712855696678162,0.36331539127651197,4.614473557472229,1.9691233236447099,2.110298567065513,0.42310166274190836,0.9493631780147552,0.021608115560335626,0.17594243437051774,0.03809012698968038,0.051118900813162324,0.02170247305549218,0.22213989052200667,0.04438180122569262,0.9495447635650635,0.021420725266130577,0.596952497959137,2.510611271858215,0.6598288894734532,0.027550154924392722
Attention Ablation,0.5,2.373884928226471,0.5800639173181525,9.556605339050293,4.205263151924302,3.0262088294758276,0.6655536203900208,0.8951308131217957,0.046146355994475106,0.2498250976204872,0.060586693302079615,0.10584486722946167,0.04633307391034049,0.3185608188363961,0.06963294185103354,0.8955292999744415,0.045731541099645445,1.299551856517792,7.452743053436279,1.5757391518837678,0.0817825198173523
Attention Ablation,0.6,2.7875123500823973,0.9059615665252005,13.360571146011353,8.312611583207635,3.512322416012649,1.0667512424732595,0.8533880829811096,0.09121825485427397,0.2930630430579185,0.09497459853992948,0.14778397232294083,0.09183615997903824,0.3694316183430037,0.11207265347586928,0.8541346788406372,0.09064387178146731,1.713179278373718,11.256708860397339,2.061852738420589,0.12352524995803837
Attention Ablation,0.7,3.349798631668091,0.8705465048349734,18.23779649734497,10.767581383421875,4.142928500902025,1.0923674258532214,0.7998679578304291,0.11815780532703068,0.3520259872078896,0.09126178721189515,0.20162546634674072,0.11908049986959245,0.4356330365508917,0.1147428226377488,0.8009921908378601,0.11753449595118433,2.275465559959412,16.133934211730956,2.6924588233099653,0.17704537510871887
Attention Ablation,0.8,4.387403535842895,1.6204818674100392,32.080527210235594,21.507271256570366,5.421900723070996,1.7267566769968286,0.6479650914669037,0.23600953095227142,0.46133777797222136,0.1705207304683596,0.35512599945068357,0.23822973796804547,0.5704249246513704,0.18178560261766835,0.6494845271110534,0.23513684157127743,3.313070464134216,29.97666492462158,3.971431045478936,0.3289482414722442
Attention Ablation,0.9,6.03696346282959,1.8910742762758808,59.407861328125,36.5970538771139,7.390007270679606,2.3083553229825213,0.3480892300605774,0.401596912635148,0.6351054459810257,0.19940587587067546,0.6582269936800003,0.4062657651883115,0.7777494261216074,0.24343108504030653,0.3503186464309692,0.4009912946448514,4.962630391120911,57.30399904251099,5.939537593087546,0.6288241028785706
Attention Ablation,1.0,8.88111686706543,0.0,121.94754791259766,0.0,11.042986367491253,0.0,-0.3381885290145874,0.0,0.9360183477401733,0.0,1.3547401428222656,0.0,1.1639330491150535,0.0,-0.33715176582336426,0.0,7.8067837953567505,119.84368562698364,9.592516689899192,1.3151018619537354
Combined Ablation,0.0,1.0743330717086792,0.0,2.1038622856140137,0.0,1.45046967759206,2.340555645717801e-16,0.976913332939148,0.0,0.1139931008219719,0.0,0.02362683042883873,0.0,0.15371021575952176,0.0,0.9766799211502075,0.0,0.0,0.0,2.220446049250313e-16,0.0
Combined Ablation,0.1,1.6270539462566376,0.9456390654089597,5.073928272724151,5.48060073054181,2.037552868581252,1.0123166942219788,0.9443213701248169,0.06014124624060392,0.17190046086907387,0.10002661707059243,0.056666485406458376,0.06132129876640154,0.21525819797719312,0.10713643228286031,0.9440692067146301,0.06052517053078497,0.5527208745479584,2.9700659871101376,0.5870831909891923,0.03259196281433108
